"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Markdown", "TypeScript React", "TypeScript", "pip requirements", "Python", "HTML", "comment", "blank", "total"
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/MapSuitabilityAboveThreshold.tsx", "TypeScript React", 0, 0, 0, 0, 67, 0, 0, 0, 0, 15, 6, 88
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/MapSuitabilityCategories.tsx", "TypeScript React", 0, 0, 0, 0, 60, 0, 0, 0, 0, 9, 5, 74
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/aside-informations/ValueScalingFunctionGraphs.tsx", "TypeScript React", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 9, 126
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/Form.tsx", "TypeScript React", 0, 0, 0, 0, 65, 0, 0, 0, 0, 7, 4, 76
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/FormsBar.tsx", "TypeScript React", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 8, 122
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormAlert.tsx", "TypeScript React", 0, 0, 0, 0, 30, 0, 0, 0, 0, 5, 4, 39
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormButton.tsx", "TypeScript React", 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 5, 51
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormCheckbox.tsx", "TypeScript React", 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 4, 58
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormComponent.tsx", "TypeScript React", 0, 0, 0, 0, 53, 0, 0, 0, 0, 14, 6, 73
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormControl.tsx", "TypeScript React", 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 5, 63
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormExpandableList.tsx", "TypeScript React", 0, 0, 0, 0, 135, 0, 0, 0, 0, 16, 11, 162
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormInteractiveScalingGraph.tsx", "TypeScript React", 0, 0, 0, 0, 95, 0, 0, 0, 0, 2, 16, 113
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormList.tsx", "TypeScript React", 0, 0, 0, 0, 127, 0, 0, 0, 0, 16, 12, 155
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormScalingGraph.tsx", "TypeScript React", 0, 0, 0, 0, 175, 0, 0, 0, 0, 3, 10, 188
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormSelect.tsx", "TypeScript React", 0, 0, 0, 0, 59, 0, 0, 0, 0, 5, 6, 70
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormSimpleList.tsx", "TypeScript React", 0, 0, 0, 0, 108, 0, 0, 0, 0, 13, 13, 134
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/FormSpacer.tsx", "TypeScript React", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 4, 25
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/forms/components/index.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/Categories.tsx", "TypeScript React", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/Category.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/CategoryLink.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/CategoryLinks.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/Guide.tsx", "TypeScript React", 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 5, 96
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/Topic.tsx", "TypeScript React", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 5, 42
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/TopicLink.tsx", "TypeScript React", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/TopicLinks.tsx", "TypeScript React", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 3, 19
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/guide/Topics.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/map/InteractiveMapContainer.tsx", "TypeScript React", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/map/LayersGroups.tsx", "TypeScript React", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 12, 132
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/Menu.tsx", "TypeScript React", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/MenuBar.tsx", "TypeScript React", 0, 0, 0, 0, 94, 0, 0, 0, 0, 2, 8, 104
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/MenuAction.tsx", "TypeScript React", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/MenuComponent.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/MenuDivider.tsx", "TypeScript React", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/MenuImport.tsx", "TypeScript React", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 6, 55
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/MenuLink.tsx", "TypeScript React", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/components/menu-bar/components/index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/consts/graph.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/enums/SendType.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/enums/ServerCallTargets.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/enums/ServerSubscriptionTargets.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/hooks.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/index.tsx", "TypeScript React", 0, 0, 0, 0, 60, 0, 0, 0, 0, 7, 10, 77
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/locales/en.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/locales/fr.json", "JSON", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 1, 34
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/AnalysisObjectivesModel.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 2, 20
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/DatasetModel.ts", "TypeScript", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 3, 39
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/LoadingValue.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/ObjectivesDataModel.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/PropsModel.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/ShapefileModel.ts", "TypeScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 2, 22
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/ValueScalingModel.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/file/FileContentModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/file/FileMetadataModel.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/form/FormSelectOptionModel.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/guide/CategoryModel.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/guide/TopicModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/InsertLayerModel.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/LatLong.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/Layers.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/MapCursorInformationsModel.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/MapStateModel.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/RemoveLayerModel.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/map/SuitabilityCategoriesModel.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuActionModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuExportModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 2, 7
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuImportModel.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"/home/philippd/Desktop/WorkingSSANTO/projet-bichai/src/models/menu-bar/MenuItemModel.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
